,小区名称,小区平均关注度
0,O纪元,7.0
1,一方大厦,73.33333333333333
2,一清新村,30.666666666666668
3,丁桥东兰轩,24.0
4,丁桥兰苑,13.222222222222221
5,丁桥大唐苑,21.166666666666668
6,丁桥家苑,9.5
7,丁桥景园北苑,96.0
8,丁桥景园南苑,8.666666666666666
9,丁桥颐景园,12.0
10,丁衙巷,9.0
11,丁香紫庭,1.0
12,七古登市教委宿舍,40.0
13,万乐园,7.0
14,万乐西园,5.25
15,万众名府,6.0
16,万华茗楼,1.0
17,万向城市花园,27.714285714285715
18,万和国际,12.714285714285714
19,万和玺园,13.4
20,万塘路300号,56.0
21,万安城市花园东苑,18.0
22,万安城市花园南苑,13.0
23,万安城市花园西苑,40.5
24,万安景月湾,8.0
25,万安秀水山庄,5.3076923076923075
26,万宝城,19.08
27,万家星城一期,15.25
28,万家星城三期,20.526315789473685
29,万家星城二期,12.0
30,万家花园万和苑,10.75
31,万家花园家和苑,11.4
32,万家花园欣和苑,21.625
33,万家花城一期,20.8
34,万家花城二期,51.9
35,万星碧云天公寓,2.5
36,万松岭路80号,5.0
37,万泰华庭,3.5714285714285716
38,万泰城章,14.521739130434783
39,万泰新语,22.0
40,万盛商贸城公寓,10.5
41,万科中央公园,114.0
42,万科公园大道,12.625
43,万科公望,7.875
44,万科劝学里,17.833333333333332
45,万科北宸之光一期,24.05
46,万科北宸之光三期拱宸,24.692307692307693
47,万科北宸之光二期,19.375
48,万科名城博园,11.173913043478262
49,万科君望,10.733333333333333
50,万科坤和玉泉,52.93333333333333
51,万科城市之光,17.11764705882353
52,万科大家世纪之光,20.1
53,万科大家九都会,7.444444444444445
54,万科大家钱塘府,51.666666666666664
55,万科大溪谷,4.75
56,万科容大金色家园,4.909090909090909
57,万科富春泉水湾,9.142857142857142
58,万科星空,27.571428571428573
59,万科智谷,0.0
60,万科未来之光,34.0
61,万科未来城三期梦溪里,40.111111111111114
62,万科未来城二期,21.238095238095237
63,万科杭宸一期,8.5
64,万科杭宸二期,14.0
65,万科桂语里,146.0
66,万科海上明月,54.76923076923077
67,万科溪望,10.25
68,万科玖望,2.888888888888889
69,万科璞悦湾,12.75
70,万科紫台,22.4
71,万科缦云坊,7.466666666666667
72,万科良渚文化村堂前,61.0
73,万科良渚文化村未来城,8.642857142857142
74,万科良渚文化村秋荷坊,17.8
75,万科草庄,12.222222222222221
76,万科融信西雅图,45.0
77,万科西庐一期,16.88888888888889
78,万科西庐二期,10.6
79,万科逸天广场,10.257142857142858
80,万科郡西澜山,20.933333333333334
81,万科金色城品,2.0
82,万科金辰之光,20.733333333333334
83,万科魅力之城,43.04761904761905
84,万美摩登中心,58.0
85,万象城悦府,21.0
86,万象城悦玺,29.285714285714285
87,万通中心,6.0
88,万通时尚公馆,30.416666666666668
89,万都晶座,40.0
90,万锦山庄,9.0
91,万陈花苑,13.75
92,万隆公寓,0.0
93,万马伊顿庄园,12.142857142857142
94,万马樱花公馆,8.090909090909092
95,万马路19号,2.5
96,三华园,6.666666666666667
97,三塘人家,12.0
98,三塘兰园,32.5
99,三塘北村,33.916666666666664
100,三塘南村,16.142857142857142
101,三塘柳园,5.0
102,三塘桂园,28.571428571428573
103,三塘桃园,23.444444444444443
104,三塘樱园,11.0
105,三塘汶园,18.333333333333332
106,三塘沁园,17.8
107,三塘竹园,2.5
108,三塘高层公寓,31.25
109,三墩景溪北苑,39.666666666666664
110,三墩景溪南苑,45.0
111,三墩美都公寓,7.0
112,三墩颐景园,7.5
113,三宝新村,8.777777777777779
114,三槐里,0.0
115,三水一生,18.130434782608695
116,三江新村,9.833333333333334
117,三江花园(萧山),13.8
118,三江花园道壹号,7.0
119,三江鸣翠桃源,5.739130434782608
120,三江鸣翠蓝湾,16.16216216216216
121,三盛颐景御园,30.0
122,三联嘉苑,11.8
123,三花国际大厦,8.0
124,三里亭一区,7.444444444444445
125,三里亭苑三区,27.0
126,三里亭苑二区,9.5
127,三里亭苑四区,22.77777777777778
128,三里家园一区,12.636363636363637
129,三里家园三区,28.0
130,三里家园二区,14.3
131,三里新城兰苑,7.380952380952381
132,三里新城桂苑,22.615384615384617
133,三里新城橘苑,5.333333333333333
134,三里新城竹苑,23.666666666666668
135,三里新城荷苑,11.666666666666666
136,上亿中央郡,13.666666666666666
137,上八界巷2-6号,27.0
138,上宁新村,3.6
139,上实海上海一期,22.88888888888889
140,上尚庭,29.4
141,上岛公馆,63.0
142,上林湖,6.875
143,上水陆寺巷,11.25
144,上沙锦湖家园,41.0
145,上焦营巷,2.0
146,上郡,4.6
147,上陈家园,7.0
148,下宁巷,3.75
149,下沙幸福雅苑,106.25
150,下沙文汇苑,20.333333333333332
151,下沙铭都雅苑,30.0
152,世嘉君座,20.058823529411764
153,世嘉铭座,13.5
154,世纪嘉园,25.4
155,世纪嘉园晴彩巴厘,13.884615384615385
156,世纪坊,19.666666666666668
157,世纪广场小区,20.0
158,世纪新城东区,41.5
159,世纪新城西区,25.875
160,世纪晶钻,8.5
161,世纪都市雅苑,35.5
162,世茂东壹号,11.0
163,世茂之西湖,13.354166666666666
164,世茂智慧之门,11.25
165,世茂江滨商业中心,18.906666666666666
166,世茂江滨花园峻景湾,21.7027027027027
167,世茂江滨花园瑞景湾,17.2
168,世茂江滨花园碧景湾,17.3
169,世茂钱塘天誉,35.0
170,世贸丽晶城,10.0
171,世贸丽晶城欧美中心,14.5
172,东亚新干线,10.0
173,东信莱茵园,23.75
174,东冠逸家,27.0
175,东冠逸景花苑,45.0
176,东华苑,2.0
177,东南钱江蓝湾,17.636363636363637
178,东原印未来,20.0
179,东原旭辉璞阅,2.0
180,东厦东港花苑,22.03125
181,东吴商城,1.0
182,东和云第,16.25925925925926
183,东和时代,5.2
184,东哲云邸,0.0
185,东园小区,34.22222222222222
186,东园巷,4.0
187,东城丽景,26.483870967741936
188,东城印象公寓,31.5
189,东安景苑,10.666666666666666
190,东小河公寓,6.222222222222222
191,东山花苑,8.0
192,东新关,31.4
193,东新园东荷星苑,9.0
194,东新园孚信苑,9.714285714285714
195,东新园新湖苑,23.5
196,东新园望景苑,9.0
197,东新园茗盛苑,12.125
198,东新园雪峰苑,24.09090909090909
199,东新府,8.75
200,东方一号,1.0
201,东方一品公寓,42.125
202,东方丽都花苑,4.25
203,东方俊园,21.666666666666668
204,东方君悦,21.142857142857142
205,东方商务会馆,6.866666666666666
206,东方御府,11.25
207,东方文化园步行街,19.375
208,东方新村,7.0
209,东方时代中心,7.5
210,东方水岚佳苑,7.142857142857143
211,东方润园,46.0
212,东方福邸,22.5
213,东方豪园,7.333333333333333
214,东方铭楼,15.0
215,东日晴好,58.0
216,东旸桥公寓,8.333333333333334
217,东晖龙悦湾,10.952380952380953
218,东河锦园,5.333333333333333
219,东海·闲湖城,8.857142857142858
220,东海未名园,14.421052631578947
221,东海柠檬郡,7.0344827586206895
222,东海水景城,20.476190476190474
223,东海水漾人家,14.272727272727273
224,东海花园,21.4
225,东海闲湖城印象加州,28.5
226,东润枫华,18.8
227,东清大厦,22.666666666666668
228,东清巷,61.0
229,东港嘉苑二区,100.0
230,东湖中路175号,16.2
231,东湖中路92号,2.4
232,东湖公寓,24.0
233,东田怡丰城,19.142857142857142
234,东田擎天半岛,16.2
235,东田玉城,34.416666666666664
236,东石塘,9.0
237,东茂苑,18.428571428571427
238,东藩小区,2.3333333333333335
239,东裕华庭,16.93103448275862
240,东都公寓,26.444444444444443
241,东都府,0.0
242,东门公寓,5.111111111111111
243,丝织弄59号,87.0
244,严官巷,31.0
245,严村里,5.0
246,严衙弄,23.5
247,中交悦西溪,13.0
248,中企艮山府,20.0
249,中光花园,2.6
250,中兴.金盛苑,2.0
251,中兴九洲芳园,13.083333333333334
252,中兴公寓,10.5
253,中兴和园,34.073170731707314
254,中兴御田清庭,25.666666666666668
255,中兴文都苑,17.666666666666668
256,中兴花园,16.27777777777778
257,中兴花园百合苑,44.57142857142857
258,中冶锦绣华府,17.166666666666668
259,中北花园,7.75
260,中北西子花园,8.0
261,中南公寓,23.25
262,中南樾府,52.0
263,中南白马湖壹号,7.888888888888889
264,中和北宸府,14.5
265,中园花苑,5.0
266,中国铁建保利像素,24.68421052631579
267,中国铁建国际城,6.142857142857143
268,中国铁建江南国际城,12.909090909090908
269,中国铁建西湖国际城,9.785714285714286
270,中国铁建青秀城,15.5
271,中城汇MIDTOWN,18.333333333333332
272,中大凤栖花园,33.333333333333336
273,中大文锦苑,5.8
274,中天·富春诚品北区,5.363636363636363
275,中天万科启宸,0.8611111111111112
276,中天之江诚品,16.5625
277,中天九溪诚品,27.22222222222222
278,中天官河锦庭,14.65
279,中天富春诚品,3.6363636363636362
280,中天珺府,7.42
281,中天西城纪,19.166666666666668
282,中奥江锦国际,8.25
283,中尚橄榄树花园（北区）,12.0
284,中尚橄榄树花园（南区）,8.909090909090908
285,中山中路,48.0
286,中山中路312-404号,7.0
287,中山北园,23.166666666666668
288,中山北路123号,16.0
289,中山北路小区,21.5
290,中山御庭,73.0
291,中山花园,7.8
292,中山苑,56.0
293,中山路12-3号,17.0
294,中庆润泽院,3.2142857142857144
295,中惠家园,28.0
296,中意名仕苑,14.5
297,中新御景湾,14.222222222222221
298,中旅城仕公馆,12.4
299,中旅紫金名门,35.64705882352941
300,中栋国际,15.538461538461538
301,中梁百悦城,16.31578947368421
