,小区名称,小区平均房价
0,O纪元,33024.0
1,一方大厦,14704.333333333334
2,一清新村,42711.166666666664
3,丁桥东兰轩,27100.0
4,丁桥兰苑,26195.296296296296
5,丁桥大唐苑,27425.333333333332
6,丁桥家苑,29415.5
7,丁桥景园北苑,25466.0
8,丁桥景园南苑,27540.5
9,丁桥颐景园,33650.5
10,丁衙巷,38710.0
11,丁香紫庭,24760.0
12,七古登市教委宿舍,35121.0
13,万乐园,13014.0
14,万乐西园,12596.5
15,万众名府,30036.0
16,万华茗楼,18689.0
17,万向城市花园,24341.714285714286
18,万和国际,59389.142857142855
19,万和玺园,64236.8
20,万塘路300号,44385.666666666664
21,万安城市花园东苑,53942.0
22,万安城市花园南苑,51630.8
23,万安城市花园西苑,49372.0
24,万安景月湾,79678.0
25,万安秀水山庄,43097.846153846156
26,万宝城,15634.8
27,万家星城一期,56615.9375
28,万家星城三期,59928.31578947369
29,万家星城二期,59009.0
30,万家花园万和苑,46434.5
31,万家花园家和苑,49443.5
32,万家花园欣和苑,48562.75
33,万家花城一期,65821.6
34,万家花城二期,68121.8
35,万星碧云天公寓,27484.7
36,万松岭路80号,37480.0
37,万泰华庭,20216.571428571428
38,万泰城章,26965.17391304348
39,万泰新语,34297.333333333336
40,万盛商贸城公寓,14901.25
41,万科中央公园,65086.25
42,万科公园大道,47514.625
43,万科公望,51672.75
44,万科劝学里,35854.5
45,万科北宸之光一期,41824.75
46,万科北宸之光三期拱宸,42365.769230769234
47,万科北宸之光二期,43998.75
48,万科名城博园,30326.260869565216
49,万科君望,24131.466666666667
50,万科坤和玉泉,56943.8
51,万科城市之光,44517.117647058825
52,万科大家世纪之光,60841.066666666666
53,万科大家九都会,26176.222222222223
54,万科大家钱塘府,80965.0
55,万科大溪谷,39540.75
56,万科容大金色家园,30299.636363636364
57,万科富春泉水湾,21532.666666666668
58,万科星空,68079.85714285714
59,万科智谷,23691.0
60,万科未来之光,24296.0
61,万科未来城三期梦溪里,43640.555555555555
62,万科未来城二期,39768.666666666664
63,万科杭宸一期,53603.0
64,万科杭宸二期,48801.75
65,万科桂语里,63211.0
66,万科海上明月,49401.92307692308
67,万科溪望,68148.75
68,万科玖望,29679.11111111111
69,万科璞悦湾,60666.333333333336
70,万科紫台,39921.6
71,万科缦云坊,34798.333333333336
72,万科良渚文化村堂前,43108.5
73,万科良渚文化村未来城,39383.642857142855
74,万科良渚文化村秋荷坊,45781.1
75,万科草庄,44948.22222222222
76,万科融信西雅图,52678.0
77,万科西庐一期,81736.33333333333
78,万科西庐二期,82490.0
79,万科逸天广场,33975.94285714286
80,万科郡西澜山,46040.6
81,万科金色城品,54087.0
82,万科金辰之光,48832.13333333333
